Rank	Country	Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
1	CA	Nikita Kucherov	TBL	30	F	81	44	100	144	22	8	21:40	17:37	4:02	0:00	31	13	0	6	1	60	40	0	16	1	91	53	0	22	2	36.8%	1.504	3.418	4.923	1.303	2.523	3.826	2.381	7.325	9.706	0.543	1.235	1.778	306	14.4%	45	35	2	2	50.00%
2	CA	Nathan MacKinnon	COL	28	F	82	51	89	140	42	35	22:48	18:14	4:30	0:03	41	10	0	9	2	51	38	0	16	4	92	48	0	25	6	34.3%	1.636	2.854	4.490	1.644	2.045	3.689	1.625	6.174	7.799	0.622	1.085	1.707	404	12.6%	55	69	607	707	46.19%
3	CA	Connor McDavid	EDM	26	F	76	32	100	132	30	35	21:21	17:33	3:24	0:23	24	7	1	5	1	63	37	0	17	3	87	44	1	22	4	33.3%	1.183	3.696	4.879	1.079	2.832	3.911	1.624	8.584	10.208	0.421	1.316	1.737	263	12.2%	118	39	442	423	51.10%
4	CA	Artemi Panarin	NYR	32	F	82	49	71	120	24	18	20:07	16:31	3:35	0:00	38	11	0	5	1	37	33	1	14	3	75	44	1	19	4	36.7%	1.782	2.582	4.364	1.683	1.638	3.321	2.243	6.730	8.974	0.598	0.866	1.463	302	16.2%	18	15	1	9	10.00%
5	CA	David Pastrnak	BOS	27	F	82	47	63	110	47	21	19:55	16:07	3:45	0:02	35	12	0	5	0	40	23	0	11	2	75	35	0	16	2	31.8%	1.726	2.313	4.039	1.589	1.816	3.405	2.331	4.468	6.800	0.573	0.768	1.341	382	12.3%	70	19	8	16	33.33%
6	CA	Auston Matthews	TOR	26	F	81	69	38	107	20	31	20:57	16:50	3:24	0:42	51	18	0	8	3	26	11	1	7	1	77	29	1	15	4	27.1%	2.438	1.343	3.780	2.243	1.143	3.386	3.912	2.391	6.302	0.852	0.469	1.321	369	18.7%	90	93	705	614	53.45%
7	CA	Leon Draisaitl	EDM	28	F	81	41	65	106	76	26	20:41	16:46	3:23	0:31	20	21	0	7	2	45	18	2	15	2	65	39	2	22	4	36.8%	1.467	2.327	3.794	0.883	1.987	2.871	4.588	3.933	8.521	0.506	0.802	1.309	217	18.9%	58	26	826	625	56.93%
8	CA	Mikko Rantanen	COL	27	F	80	42	62	104	50	19	22:54	18:16	4:35	0:02	28	14	0	9	0	36	26	0	9	2	64	40	0	18	2	38.5%	1.375	2.030	3.405	1.149	1.477	2.626	2.285	4.244	6.529	0.525	0.775	1.300	271	15.5%	53	49	275	236	53.82%
9	CA	J.T. Miller	VAN	30	F	81	37	66	103	58	32	19:29	14:35	3:43	1:09	25	10	2	9	2	36	30	0	11	2	61	40	2	20	4	38.8%	1.406	2.508	3.915	1.269	1.827	3.096	1.986	5.957	7.943	0.457	0.815	1.272	194	19.1%	217	61	823	638	56.33%
10	CA	William Nylander	TOR	27	F	82	40	58	98	24	1	19:54	15:32	3:22	0:59	26	11	3	7	2	33	24	1	11	2	59	35	4	18	4	35.7%	1.470	2.131	3.601	1.224	1.554	2.778	2.386	5.205	7.591	0.488	0.707	1.195	316	12.7%	32	29	56	63	47.06%
11	CA	Kirill Kaprizov	MIN	26	F	75	46	50	96	36	11	21:34	17:22	4:09	0:02	27	19	0	8	2	28	22	0	7	1	55	41	0	15	3	42.7%	1.706	1.854	3.559	1.243	1.289	2.532	3.654	4.231	7.884	0.613	0.667	1.280	277	16.6%	55	38	0	1	0.00%
12	CA	Sam Reinhart	FLA	28	F	82	57	37	94	31	29	20:17	14:23	3:45	2:08	25	27	5	11	3	30	7	0	8	0	55	34	5	19	3	36.2%	2.055	1.334	3.388	1.271	1.525	2.796	5.257	1.363	6.620	0.695	0.451	1.146	233	24.5%	78	66	234	296	44.15%
13	CA	Filip Forsberg	NSH	29	F	82	48	46	94	43	16	18:54	15:20	3:32	0:00	35	13	0	11	3	27	19	0	6	1	62	32	0	17	4	34.0%	1.858	1.780	3.638	1.669	1.287	2.956	2.680	3.917	6.597	0.585	0.561	1.146	347	13.8%	141	44	11	11	50.00%
14	CA	Sidney Crosby	PIT	36	F	82	42	52	94	40	7	20:05	16:24	3:35	0:05	32	10	0	3	0	39	13	0	5	1	71	23	0	8	1	24.5%	1.530	1.894	3.424	1.427	1.739	3.166	2.041	2.653	4.694	0.512	0.634	1.146	278	15.1%	101	37	1090	782	58.23%
15	CA	Quinn Hughes	VAN	24	D	82	17	75	92	38	38	24:41	20:09	3:55	0:35	12	5	0	2	1	42	33	0	12	3	54	38	0	14	4	41.3%	0.504	2.223	2.727	0.435	1.524	1.959	0.933	6.158	7.091	0.207	0.915	1.122	199	8.5%	29	55	0	0	0.00%
16	CA	Brayden Point	TBL	27	F	81	46	44	90	14	-16	20:02	16:21	3:39	0:01	31	15	0	12	0	27	17	0	8	0	58	32	0	20	0	35.6%	1.700	1.626	3.327	1.404	1.223	2.628	3.039	3.444	6.483	0.568	0.543	1.111	227	20.3%	16	44	294	350	45.65%
17	CA	Cale Makar	COL	25	D	77	21	69	90	16	15	24:46	18:09	4:04	2:32	13	7	1	1	0	34	32	3	10	4	47	39	4	11	4	43.3%	0.661	2.171	2.831	0.558	1.460	2.018	1.338	6.116	7.454	0.273	0.896	1.169	231	9.1%	37	148	0	0	0.00%
18	CA	Sebastian Aho	CAR	26	F	78	36	53	89	36	34	19:37	14:57	2:53	1:46	24	11	1	10	2	31	21	1	14	2	55	32	2	24	4	36.0%	1.411	2.077	3.488	1.234	1.594	2.828	2.923	5.580	8.502	0.462	0.679	1.141	216	16.7%	48	18	571	484	54.12%
19	CA	Elias Pettersson	VAN	25	F	82	34	55	89	12	20	19:39	14:31	3:45	1:22	21	13	0	10	2	35	18	2	3	0	56	31	2	13	2	34.8%	1.266	2.048	3.314	1.058	1.763	2.822	2.534	3.508	6.042	0.415	0.671	1.085	207	16.4%	125	68	406	393	50.81%
20	CA	Matthew Tkachuk	FLA	26	F	80	26	62	88	88	19	18:38	14:18	4:01	0:18	19	6	1	2	0	36	26	0	13	2	55	32	1	15	2	36.4%	1.046	2.495	3.541	0.996	1.886	2.882	1.119	4.849	5.969	0.325	0.775	1.100	280	9.3%	151	28	3	6	33.33%
21	CA	Robert Thomas	STL	24	F	82	26	60	86	48	9	20:57	15:56	3:13	1:48	17	8	1	3	0	39	19	2	10	2	56	27	3	13	2	31.4%	0.907	2.094	3.001	0.781	1.791	2.571	1.815	4.310	6.125	0.317	0.732	1.049	170	15.3%	16	47	876	773	53.12%
22	CA	Mitchell Marner	TOR	26	F	69	26	59	85	18	21	21:16	16:00	3:11	2:03	17	8	1	2	0	40	19	0	7	4	57	27	1	9	4	31.8%	1.063	2.411	3.474	0.923	2.172	3.096	2.174	5.164	7.338	0.377	0.855	1.232	158	16.5%	59	51	4	12	25.00%
23	CA	Roman Josi	NSH	33	D	82	23	62	85	45	12	24:37	20:16	3:51	0:29	14	9	0	5	2	37	24	1	13	3	51	33	1	18	5	38.8%	0.683	1.842	2.525	0.505	1.335	1.840	1.706	4.549	6.255	0.280	0.756	1.037	268	8.6%	46	151	0	0	0.00%
24	CA	Jesper Bratt	NJD	25	F	82	27	56	83	12	-6	19:18	14:57	3:21	1:00	20	7	0	7	0	35	20	1	8	1	55	27	1	15	1	32.5%	1.023	2.122	3.146	0.979	1.713	2.692	1.528	4.364	5.892	0.329	0.683	1.012	248	10.9%	66	33	8	14	36.36%
25	CA	Evan Bouchard	EDM	24	D	81	18	64	82	32	34	22:59	19:13	3:26	0:19	10	8	0	7	2	37	27	0	12	2	47	35	0	19	4	42.7%	0.580	2.061	2.641	0.385	1.426	1.811	1.719	5.801	7.520	0.222	0.790	1.012	220	8.2%	71	105	0	0	0.00%
