Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
1	DE	Leon Draisaitl	EDM	29	F	22	11	22	33	6	4	22:46	18:49	3:53	0:03	7	4	0	4	4	14	8	0	3	1	21	12	0	7	5	36.4%	1.318	2.635	3.953	1.014	2.028	3.042	2.805	5.611	8.416	0.500	1.000	1.500	56	19.6%	33	16	212	200	51.46%
2	CA	Connor McDavid	EDM	27	F	22	7	26	33	4	3	24:25	19:23	3:49	1:13	7	0	0	2	0	19	7	0	3	2	26	7	0	5	2	21.2%	0.782	2.903	3.685	0.985	2.672	3.657	0.000	4.998	4.998	0.318	1.182	1.500	80	8.8%	24	22	124	128	49.21%
3	CA	Sam Reinhart	FLA	29	F	21	11	12	23	6	5	21:30	16:14	3:23	1:53	11	0	0	0	0	8	4	0	2	0	19	4	0	2	0	17.4%	1.461	1.594	3.054	1.936	1.408	3.343	0.000	3.366	3.366	0.524	0.571	1.095	63	17.5%	38	23	33	60	35.48%
4	US	Matthew Tkachuk	FLA	27	F	23	8	15	23	33	7	17:23	13:32	3:49	0:01	3	5	0	1	0	9	6	0	4	0	12	11	0	5	0	47.8%	1.200	2.250	3.449	0.578	1.734	2.312	3.407	4.088	7.494	0.348	0.652	1.000	41	19.5%	46	13	0	0	0.00%
5	CA	Evan Bouchard	EDM	25	D	22	7	16	23	8	6	26:12	20:30	3:50	1:50	5	2	0	1	0	12	4	0	1	0	17	6	0	2	0	26.1%	0.728	1.665	2.394	0.665	1.595	2.260	1.417	2.834	4.251	0.318	0.727	1.045	70	10.0%	10	33	0	0	0.00%
6	CA	Carter Verhaeghe	FLA	29	F	23	7	16	23	6	12	18:54	16:15	2:36	0:02	3	4	0	3	0	13	3	0	1	1	16	7	0	4	1	30.4%	0.966	2.207	3.173	0.481	2.086	2.567	3.990	2.993	6.983	0.304	0.696	1.000	52	13.5%	59	6	8	14	36.36%
7	CA	Sam Bennett	FLA	28	F	23	15	7	22	48	6	17:33	15:36	1:48	0:08	11	4	0	1	0	7	0	0	3	0	18	4	0	4	0	18.2%	2.228	1.040	3.268	1.838	1.169	3.007	5.762	0.000	5.762	0.652	0.304	0.957	69	21.7%	107	11	96	150	39.02%
8	FI	Mikko Rantanen	DAL	28	F	18	9	13	22	10	-3	20:46	17:40	3:04	0:01	7	2	0	2	0	8	5	0	5	1	15	7	0	7	1	31.8%	1.444	2.086	3.530	1.320	1.509	2.829	2.171	5.428	7.600	0.500	0.722	1.222	50	18.0%	15	21	3	7	30.00%
9	FI	Aleksander Barkov	FLA	29	F	23	6	16	22	4	4	20:29	15:13	3:16	1:59	4	2	0	0	0	10	6	0	3	0	14	8	0	3	0	36.4%	0.764	2.037	2.801	0.685	1.713	2.399	1.590	4.771	6.362	0.261	0.696	0.957	45	13.3%	51	24	260	186	58.30%
10	CA	Brad Marchand	FLA	36	F	23	10	10	20	48	17	16:40	13:48	1:35	1:16	8	1	1	3	2	9	1	0	2	0	17	2	1	5	2	10.0%	1.565	1.565	3.129	1.512	1.701	3.212	1.643	1.643	3.286	0.435	0.435	0.870	47	21.3%	36	13	0	0	0.00%
11	CA	Ryan Nugent-Hopkins	EDM	31	F	22	6	14	20	6	4	19:34	14:20	3:32	1:41	2	4	0	1	0	10	4	0	3	0	12	8	0	4	0	40.0%	0.836	1.950	2.786	0.380	1.901	2.281	3.074	3.074	6.147	0.273	0.636	0.909	48	12.5%	27	21	72	102	41.38%
12	FI	Eetu Luostarinen	FLA	26	F	23	5	14	19	25	11	15:23	12:59	0:10	2:13	5	0	0	0	0	14	0	0	4	0	19	0	0	4	0	0.0%	0.848	2.374	3.222	1.004	2.812	3.817	0.000	0.000	0.000	0.217	0.609	0.826	34	14.7%	87	25	6	14	30.00%
13	FI	Anton Lundell	FLA	23	F	23	6	12	18	14	19	16:09	14:07	0:26	1:36	6	0	0	1	0	11	0	1	4	1	17	0	1	5	1	0.0%	0.969	1.937	2.906	1.109	2.033	3.141	0.000	0.000	0.000	0.261	0.522	0.783	48	12.5%	28	20	151	166	47.63%
14	US	Kyle Connor	WPG	28	F	13	5	12	17	0	4	22:17	17:31	3:49	0:56	5	0	0	2	0	8	4	0	3	1	13	4	0	5	1	23.5%	1.035	2.485	3.521	1.317	2.107	3.424	0.000	4.829	4.829	0.385	0.923	1.308	45	11.1%	11	5	0	0	0.00%
15	CA	Seth Jarvis	CAR	22	F	15	6	10	16	6	2	19:52	13:32	4:05	2:14	4	2	0	0	0	4	6	0	3	1	8	8	0	3	1	50.0%	1.207	2.012	3.220	1.182	1.182	2.363	1.955	5.866	7.822	0.400	0.667	1.067	36	16.7%	52	13	6	17	26.09%
16	FI	Sebastian Aho	CAR	27	F	15	7	8	15	8	3	20:47	14:34	4:08	2:04	4	3	0	1	1	4	4	0	1	0	8	7	0	2	1	46.7%	1.347	1.539	2.886	1.098	1.098	2.196	2.898	3.864	6.761	0.467	0.533	1.000	41	17.1%	45	10	144	121	54.34%
17	SE	William Nylander	TOR	28	F	13	6	9	15	4	-3	19:05	15:59	3:06	0:00	5	1	0	0	0	5	4	0	1	0	10	5	0	1	0	33.3%	1.450	2.175	3.625	1.444	1.444	2.887	1.489	5.955	7.444	0.462	0.692	1.154	37	16.2%	7	7	15	5	75.00%
18	CA	Evan Rodrigues	FLA	31	F	21	2	13	15	10	3	16:11	14:06	1:43	0:21	1	1	0	0	0	7	6	0	1	0	8	7	0	1	0	46.7%	0.353	2.294	2.647	0.202	1.417	1.619	1.664	9.986	11.650	0.095	0.619	0.714	33	6.1%	44	11	31	43	41.89%
19	CA	Corey Perry	EDM	39	F	22	10	4	14	12	-2	15:15	12:10	3:05	0:00	5	5	0	1	0	2	2	0	2	2	7	7	0	3	2	50.0%	1.787	0.715	2.501	1.119	0.448	1.567	4.422	1.769	6.190	0.455	0.182	0.636	41	24.4%	34	3	0	3	0.00%
20	CA	Thomas Harley	DAL	23	D	18	4	10	14	10	-10	25:57	21:10	3:06	1:41	3	1	0	1	1	3	7	0	0	0	6	8	0	1	1	57.1%	0.513	1.284	1.797	0.472	0.472	0.945	1.074	7.516	8.589	0.222	0.556	0.778	31	12.9%	22	39	0	0	0.00%
21	CA	Aaron Ekblad	FLA	28	D	19	4	9	13	38	10	23:59	18:13	2:32	3:13	3	1	0	0	0	6	3	0	0	0	9	4	0	0	0	30.8%	0.526	1.184	1.711	0.520	1.040	1.559	1.241	3.722	4.962	0.211	0.474	0.684	36	11.1%	62	27	0	0	0.00%
22	CA	Mitch Marner	TOR	27	F	13	2	11	13	2	-1	22:10	16:48	3:18	2:03	2	0	0	1	0	5	6	0	3	0	7	6	0	4	0	46.2%	0.416	2.289	2.705	0.549	1.372	1.921	0.000	8.359	8.359	0.154	0.846	1.000	16	12.5%	31	16	4	5	44.44%
23	RU	Andrei Svechnikov	CAR	24	F	15	8	4	12	22	4	18:05	14:04	3:59	0:00	7	1	0	3	0	3	1	0	0	0	10	2	0	3	0	16.7%	1.769	0.885	2.654	1.989	0.852	2.841	1.002	1.002	2.003	0.533	0.267	0.800	40	20.0%	62	2	2	5	28.57%
24	FI	Roope Hintz	DAL	28	F	17	6	6	12	10	-2	17:42	13:30	2:37	1:34	2	4	0	0	0	4	2	0	3	0	6	6	0	3	0	50.0%	1.196	1.196	2.393	0.523	1.045	1.568	5.395	2.698	8.093	0.353	0.353	0.706	37	16.2%	14	14	127	128	49.80%
25	CA	Evander Kane	EDM	33	F	21	6	6	12	44	4	16:28	15:44	0:43	0:01	6	0	0	0	0	5	1	0	1	0	11	1	0	1	0	8.3%	1.040	1.040	2.081	1.089	0.908	1.997	0.000	3.974	3.974	0.286	0.286	0.571	47	12.8%	95	7	12	13	48.00%
26	US	Nate Schmidt	FLA	33	D	23	3	9	12	4	9	16:15	14:07	1:45	0:23	2	1	0	2	0	6	3	0	2	0	8	4	0	4	0	33.3%	0.481	1.444	1.925	0.370	1.109	1.478	1.486	4.457	5.943	0.130	0.391	0.522	26	11.5%	35	18	0	0	0.00%
27	CA	Nathan MacKinnon	COL	29	F	7	7	4	11	2	5	22:50	17:58	4:50	0:01	4	3	0	2	0	4	0	0	0	0	8	3	0	2	0	27.3%	2.627	1.501	4.128	1.907	1.907	3.814	5.315	0.000	5.315	1.000	0.571	1.571	39	18.0%	12	2	77	75	50.66%
28	CA	Mark Scheifele	WPG	31	F	11	5	6	11	16	5	19:00	15:17	3:36	0:05	4	1	0	1	0	5	1	0	2	0	9	2	0	3	0	18.2%	1.435	1.722	3.157	1.426	1.783	3.209	1.509	1.509	3.019	0.455	0.545	1.000	22	22.7%	21	6	78	92	45.88%
29	CA	Zach Hyman	EDM	32	F	15	5	6	11	6	10	17:41	15:30	1:27	0:43	5	0	0	1	0	5	1	0	1	0	10	1	0	2	0	9.1%	1.130	1.356	2.486	1.290	1.290	2.580	0.000	2.738	2.738	0.333	0.400	0.733	30	16.7%	111	7	0	0	0.00%
30	US	Auston Matthews	TOR	27	F	13	3	8	11	2	0	20:39	15:41	3:14	1:43	2	1	0	1	0	6	2	0	2	1	8	3	0	3	1	27.3%	0.670	1.788	2.458	0.589	1.766	2.354	1.422	2.845	4.267	0.231	0.615	0.846	47	6.4%	33	17	145	112	56.42%
31	CA	Dylan Strome	WSH	27	F	10	2	9	11	2	0	17:24	13:51	3:32	0:00	2	0	0	1	0	4	5	0	3	1	6	5	0	4	1	45.5%	0.689	3.102	3.792	0.866	1.731	2.597	0.000	8.475	8.475	0.200	0.900	1.100	15	13.3%	5	8	73	87	45.63%
32	FI	Mikael Granlund	DAL	32	F	18	5	5	10	8	-2	17:26	14:16	1:53	1:17	2	3	0	1	0	2	3	0	0	0	4	6	0	1	0	60.0%	0.955	0.955	1.911	0.467	0.467	0.934	5.310	5.310	10.619	0.278	0.278	0.556	29	17.2%	40	16	26	22	54.17%
