Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
1	US	Jack Hughes	NJD	24	F	22	15	23	38	8	7	21:56	18:45	2:54	0:17	12	2	1	3	0	15	7	1	7	2	27	9	2	10	2	23.7%	1.865	2.859	4.723	1.745	2.181	3.926	1.881	6.583	8.464	0.682	1.045	1.727	93	16.1%	1	15	78	147	34.67%
2	RU	Nikita Kucherov	TBL	32	F	22	13	22	35	12	11	20:01	16:20	3:39	0:02	10	2	1	3	1	16	6	0	0	0	26	8	1	3	1	22.9%	1.770	2.996	4.766	1.670	2.671	4.341	1.490	4.470	5.960	0.591	1.000	1.591	67	19.4%	12	4	0	0	0.00%
3	CA	Nicholas Suzuki	MTL	26	F	23	10	23	33	18	9	21:00	16:52	3:48	0:19	9	1	0	1	0	12	11	0	5	1	21	12	0	6	1	36.4%	1.241	2.855	4.096	1.391	1.855	3.247	0.684	7.520	8.204	0.435	1.000	1.435	56	17.9%	14	13	224	197	53.21%
4	CA	Mark Scheifele	WPG	32	F	23	9	24	33	21	1	22:22	19:06	3:00	0:16	9	0	0	2	1	18	6	0	6	2	27	6	0	8	3	18.2%	1.049	2.798	3.848	1.229	2.458	3.687	0.000	5.217	5.217	0.391	1.043	1.435	55	16.4%	9	16	167	173	49.12%
5	CZ	Martin Necas	COL	26	F	23	13	19	32	2	9	22:36	18:34	3:58	0:03	9	4	0	5	0	11	8	0	3	1	20	12	0	8	1	37.5%	1.500	2.192	3.693	1.264	1.544	2.808	2.624	5.248	7.872	0.565	0.826	1.391	70	18.6%	24	6	0	1	0.00%
6	CA	Connor McDavid	EDM	28	F	20	13	18	31	18	4	23:09	18:41	3:42	0:45	10	3	0	2	0	10	8	0	7	2	20	11	0	9	2	35.5%	1.684	2.332	4.017	1.605	1.605	3.210	2.428	6.473	8.901	0.650	0.900	1.550	75	17.3%	10	7	121	103	54.02%
7	CA	Macklin Celebrini	SJS	19	F	24	15	15	30	12	-2	21:50	18:44	2:58	0:06	12	3	0	1	0	10	5	0	4	0	22	8	0	5	0	26.7%	1.718	1.718	3.435	1.601	1.334	2.934	2.517	4.195	6.712	0.625	0.625	1.250	82	18.3%	23	18	174	203	46.15%
8	CA	Nathan MacKinnon	COL	30	F	23	13	17	30	21	7	22:19	18:13	4:00	0:05	10	3	0	2	0	12	5	0	3	0	22	8	0	5	0	26.7%	1.519	1.986	3.505	1.431	1.718	3.149	1.951	3.252	5.203	0.565	0.739	1.304	92	14.1%	18	6	146	148	49.66%
9	SE	Erik Karlsson	PIT	35	D	22	11	19	30	6	1	23:29	18:12	4:03	1:13	9	2	0	0	0	10	9	0	1	0	19	11	0	1	0	36.7%	1.277	2.206	3.484	1.348	1.498	2.846	1.346	6.057	7.403	0.500	0.864	1.364	64	17.2%	6	18	0	0	0.00%
10	US	Cole Caufield	MTL	24	F	22	16	12	28	0	6	18:03	14:15	3:47	0:00	13	3	0	4	1	7	5	0	2	0	20	8	0	6	1	28.6%	2.416	1.812	4.227	2.486	1.339	3.825	2.157	3.594	5.751	0.727	0.545	1.273	78	20.5%	6	4	0	2	0.00%
11	US	Jason Robertson	DAL	26	F	23	12	16	28	10	1	20:58	16:37	4:20	0:00	8	4	0	3	0	7	9	0	1	1	15	13	0	4	1	46.4%	1.492	1.989	3.481	1.255	1.098	2.353	2.402	5.404	7.805	0.522	0.696	1.217	84	14.3%	9	11	1	0	100.00%
12	CA	Robert Thomas	STL	26	F	21	11	17	28	12	23	19:13	15:53	2:28	0:51	11	0	0	4	2	11	5	1	1	0	22	5	1	5	2	17.9%	1.635	2.526	4.161	1.978	1.978	3.955	0.000	5.762	5.762	0.524	0.810	1.333	39	28.2%	3	15	159	139	53.36%
13	CA	Dylan Holloway	STL	24	F	22	11	17	28	9	20	19:10	16:22	2:22	0:25	8	3	0	1	1	15	2	0	3	1	23	5	0	4	2	17.9%	1.564	2.417	3.981	1.332	2.498	3.830	3.442	2.294	5.736	0.500	0.773	1.273	71	15.5%	35	12	19	23	45.24%
14	SE	Jesper Bratt	NJD	27	F	22	9	19	28	2	7	18:21	15:08	2:38	0:34	8	1	0	1	0	12	6	1	5	0	20	7	1	6	0	25.0%	1.337	2.823	4.161	1.441	2.162	3.604	1.029	6.177	7.206	0.409	0.864	1.273	47	19.2%	16	4	0	2	0.00%
15	US	Clayton Keller	UTA	27	F	22	8	20	28	22	0	19:09	16:01	3:07	0:00	6	2	0	2	1	12	8	0	5	1	18	10	0	7	2	35.7%	1.139	2.847	3.986	1.021	2.042	3.063	1.746	6.985	8.732	0.364	0.909	1.273	65	12.3%	0	7	1	4	20.00%
16	CZ	David Pastrnak	BOS	29	F	23	7	21	28	32	4	21:04	17:30	3:31	0:02	6	1	0	0	0	16	5	0	3	2	22	6	0	3	2	21.4%	0.866	2.599	3.465	0.894	2.384	3.278	0.739	3.695	4.433	0.304	0.913	1.217	74	9.5%	23	9	1	3	25.00%
17	CZ	Pavel Zacha	BOS	28	F	22	15	12	27	0	8	16:04	12:53	2:57	0:13	9	6	0	1	1	11	1	0	1	0	20	7	0	2	1	25.9%	2.545	2.036	4.582	1.903	2.326	4.229	5.533	0.922	6.455	0.682	0.545	1.227	42	35.7%	21	4	175	137	56.09%
18	US	Alex DeBrincat	DET	28	F	22	11	16	27	9	6	19:40	16:21	3:17	0:01	7	4	0	1	0	14	2	0	1	0	21	6	0	2	0	22.2%	1.525	2.219	3.744	1.168	2.335	3.503	3.317	1.659	4.976	0.500	0.727	1.227	78	14.1%	10	13	2	7	22.22%
19	DK	Nikolaj Ehlers	CAR	29	F	23	11	16	27	4	6	16:20	13:42	2:36	0:00	6	5	0	3	0	9	7	0	3	0	15	12	0	6	0	44.4%	1.756	2.554	4.310	1.141	1.712	2.853	4.986	6.981	11.967	0.478	0.696	1.174	62	17.7%	11	7	0	1	0.00%
20	SK	Juraj Slafkovsky	MTL	21	F	23	9	18	27	8	4	19:52	16:00	3:48	0:02	4	5	0	2	0	13	5	0	2	0	17	10	0	4	0	37.0%	1.182	2.364	3.545	0.652	2.118	2.769	3.431	3.431	6.861	0.391	0.783	1.174	60	15.0%	20	22	3	9	25.00%
21	US	Jimmy Snuggerud	STL	21	F	22	11	15	26	8	20	17:53	15:33	2:19	0:00	10	1	0	2	0	14	1	0	2	0	24	2	0	4	0	7.7%	1.677	2.287	3.964	1.754	2.455	4.209	1.171	1.171	2.343	0.500	0.682	1.182	68	16.2%	19	11	1	7	12.50%
22	SE	Filip Forsberg	NSH	31	F	22	13	12	25	6	3	19:11	15:59	3:12	0:00	8	5	0	2	1	8	4	0	2	0	16	9	0	4	1	36.0%	1.847	1.705	3.552	1.365	1.365	2.729	4.257	3.406	7.663	0.591	0.545	1.136	59	22.0%	17	15	0	3	0.00%
23	US	Kyle Connor	WPG	29	F	23	12	13	25	2	2	22:16	18:16	2:56	1:03	10	2	0	4	1	11	2	0	3	1	21	4	0	7	2	16.0%	1.405	1.522	2.927	1.427	1.570	2.998	1.773	1.773	3.547	0.522	0.565	1.087	75	16.0%	21	9	0	1	0.00%
24	US	Jake Guentzel	TBL	31	F	23	12	13	25	14	0	19:50	14:53	3:33	1:23	10	2	0	0	0	8	5	0	2	0	18	7	0	2	0	28.0%	1.578	1.710	3.288	1.751	1.401	3.152	1.469	3.673	5.142	0.522	0.565	1.087	66	18.2%	15	9	81	80	50.31%
25	SE	Mika Zibanejad	NYR	32	F	23	10	15	25	4	3	20:34	15:10	3:33	1:50	6	4	0	0	0	7	8	0	5	0	13	12	0	5	0	48.0%	1.268	1.902	3.170	1.031	1.203	2.235	2.935	5.869	8.804	0.435	0.652	1.087	56	17.9%	27	13	169	149	53.14%
