Name                 	Team 	Pos 	G  	A  	P  	TeamModifier 	Modifier
Adam Fox             	NYR  	D   	17 	56 	73 	      1.8690 	     136
Quinn Hughes         	VAN  	D   	17 	75 	92 	      1.2170 	     112
Evan Bouchard        	EDM  	D   	18 	64 	82 	      1.3300 	     109
Cale Makar           	COL  	D   	21 	69 	90 	      1.0450 	      94
Brady Skjei          	CAR  	D   	13 	34 	47 	      1.5550 	      73
Brent Burns          	CAR  	D   	10 	33 	43 	      1.5550 	      67
Roman Josi           	NSH  	D   	23 	62 	85 	      0.7510 	      64
Morgan Rielly        	TOR  	D   	 7 	51 	58 	      1.1020 	      64
Mattias Ekholm       	EDM  	D   	11 	34 	45 	      1.3300 	      60
Miro Heiskanen       	DAL  	D   	 9 	45 	54 	      1.0670 	      58
Filip Hronek         	VAN  	D   	 5 	43 	48 	      1.2170 	      58
Jaccob Slavin        	CAR  	D   	 6 	31 	37 	      1.5550 	      58
Erik Gustafsson      	NYR  	D   	 6 	25 	31 	      1.8690 	      58
K'Andre Miller       	NYR  	D   	 8 	22 	30 	      1.8690 	      56
Victor Hedman        	TBL  	D   	13 	63 	76 	      0.6910 	      53
Devon Toews          	COL  	D   	12 	38 	50 	      1.0450 	      52
Thomas Harley        	DAL  	D   	15 	32 	47 	      1.0670 	      50
Josh Morrissey       	WPG  	D   	10 	59 	69 	      0.7140 	      49
Gustav Forsling      	FLA  	D   	10 	29 	39 	      1.2210 	      48
Noah Hanifin         	VGK  	D   	13 	34 	47 	      0.9420 	      44
Darnell Nurse        	EDM  	D   	10 	22 	32 	      1.3300 	      43
Jacob Trouba         	NYR  	D   	 3 	19 	22 	      1.8690 	      41
Shea Theodore        	VGK  	D   	 5 	37 	42 	      0.9420 	      40
Brandon Montour      	FLA  	D   	 8 	25 	33 	      1.2210 	      40
Dmitry Orlov         	CAR  	D   	 6 	20 	26 	      1.5550 	      40
Oliver Ekman-Larsson 	FLA  	D   	 9 	23 	32 	      1.2210 	      39
Charlie McAvoy       	BOS  	D   	12 	35 	47 	      0.7490 	      35
Tyler Myers          	VAN  	D   	 5 	24 	29 	      1.2170 	      35
Jalen Chatfield      	CAR  	D   	 8 	14 	22 	      1.5550 	      34
Cody Ceci            	EDM  	D   	 5 	20 	25 	      1.3300 	      33
Alex Pietrangelo     	VGK  	D   	 4 	29 	33 	      0.9420 	      31
Jake McCabe          	TOR  	D   	 8 	20 	28 	      1.1020 	      31
Sean Walker          	COL  	D   	10 	19 	29 	      1.0450 	      30
T.J. Brodie          	TOR  	D   	 1 	25 	26 	      1.1020 	      29
Esa Lindell          	DAL  	D   	 5 	21 	26 	      1.0670 	      28
Josh Manson          	COL  	D   	 8 	17 	25 	      1.0450 	      26
Timothy Liljegren    	TOR  	D   	 3 	20 	23 	      1.1020 	      25
Neal Pionk           	WPG  	D   	 5 	28 	33 	      0.7140 	      24
Ryan McDonagh        	NSH  	D   	 3 	29 	32 	      0.7510 	      24
Brayden McNabb       	VGK  	D   	 4 	22 	26 	      0.9420 	      24
Nikita Zadorov       	VAN  	D   	 6 	14 	20 	      1.2170 	      24
Darren Raddysh       	TBL  	D   	 6 	27 	33 	      0.6910 	      23
Dylan Demelo         	WPG  	D   	 3 	28 	31 	      0.7140 	      22
Hampus Lindholm      	BOS  	D   	 3 	23 	26 	      0.7490 	      19
Kevin Shattenkirk    	BOS  	D   	 6 	18 	24 	      0.7490 	      18
Nicklaus Perbix      	TBL  	D   	 2 	22 	24 	      0.6910 	      17
Brenden Dillon       	WPG  	D   	 8 	12 	20 	      0.7140 	      14
