EV      	Name                  	Team 	TEV   	Pos 	GP 	SGP 	G  	A  	P   	ESP
108.354 	Nathan MacKinnon      	COL  	0.976 	F   	79 	 26 	32 	84 	116 	 78
107.766 	Nikita Kucherov       	TBL  	0.903 	F   	78 	 30 	37 	84 	121 	 75
105.997 	Jack Eichel           	VGK  	1.175 	F   	77 	 26 	28 	66 	 94 	 58
103.602 	Auston Matthews       	TOR  	1.068 	F   	67 	 31 	33 	45 	 78 	 51
101.573 	Kyle Connor           	WPG  	1.159 	F   	82 	 29 	41 	56 	 97 	 67
100.136 	Alexander Ovechkin    	WSH  	1.087 	F   	65 	 30 	44 	29 	 73 	 51
100.071 	Connor McDavid        	EDM  	0.854 	F   	67 	 22 	26 	74 	100 	 69
 99.004 	Leon Draisaitl        	EDM  	0.854 	F   	71 	 20 	52 	54 	106 	 73
 97.748 	Mitch Marner          	TOR  	1.068 	F   	81 	 30 	27 	75 	102 	 67
 94.126 	Cale Makar            	COL  	0.976 	D   	80 	 27 	30 	62 	 92 	 54
 91.473 	Mark Scheifele        	WPG  	1.159 	F   	82 	 29 	39 	48 	 87 	 62
 87.723 	William Nylander      	TOR  	1.068 	F   	82 	 31 	45 	39 	 84 	 54
 87.590 	Dylan Strome          	WSH  	1.087 	F   	82 	 31 	29 	53 	 82 	 48
 86.668 	Aleksander Barkov     	FLA  	0.999 	F   	67 	 25 	20 	51 	 71 	 39
 84.850 	John Tavares          	TOR  	1.068 	F   	75 	 31 	38 	36 	 74 	 54
 84.357 	Matthew Tkachuk       	FLA  	0.999 	F   	52 	  5 	22 	35 	 57 	 34
 84.110 	Tomas Hertl           	VGK  	1.175 	F   	73 	 21 	32 	29 	 61 	 38
 82.350 	Seth Jarvis           	CAR  	1.120 	F   	73 	 28 	32 	35 	 67 	 41
 81.034 	Jack Hughes           	NJD  	0.933 	F   	62 	  9 	27 	43 	 70 	 41
 80.702 	Brandon Hagel         	TBL  	0.903 	F   	82 	 32 	35 	55 	 90 	 72
 78.827 	Alexei Protas         	WSH  	1.087 	F   	76 	 25 	30 	36 	 66 	 60
 77.983 	Robert Thomas         	STL  	0.710 	F   	70 	 30 	21 	60 	 81 	 61
 77.892 	Tom Wilson            	WSH  	1.087 	F   	81 	 30 	33 	32 	 65 	 43
 77.510 	Shea Theodore         	VGK  	1.175 	D   	67 	 16 	 7 	50 	 57 	 38
 77.035 	Sam Reinhart          	FLA  	0.999 	F   	79 	 27 	39 	42 	 81 	 45
 76.706 	Jesper Bratt          	NJD  	0.933 	F   	81 	 28 	21 	67 	 88 	 50
 75.672 	Mark Stone            	VGK  	1.175 	F   	66 	 28 	19 	48 	 67 	 41
