EV	Name	Team	TEV	Pos	GP	SGP	G	A	P	ESP
86.664	Cale Makar	COL	0.942	D	80	27	30	62	92	54
73.160	Josh Morrissey	WPG	1.180	D	80	27	14	48	62	40
71.250	Shea Theodore	VGK	1.250	D	67	16	7	50	57	38
58.212	Victor Hedman	TBL	0.882	D	79	31	15	51	66	40
56.548	Evan Bouchard	EDM	0.844	D	82	31	14	53	67	41
55.284	John Carlson	WSH	1.084	D	79	28	5	46	51	37
50.948	Jakob Chychrun	WSH	1.084	D	74	28	20	27	47	32
50.850	Shayne Gostisbehere	CAR	1.130	D	70	26	7	38	45	18
48.750	Noah Hanifin	VGK	1.250	D	80	28	10	29	39	29
45.050	Thomas Harley	DAL	0.901	D	78	29	16	34	50	35
42.271	Morgan Rielly	TOR	1.031	D	82	31	7	34	41	26
41.448	Devon Toews	COL	0.942	D	76	27	10	34	44	41
41.250	Alex Pietrangelo	VGK	1.250	D	71	22	4	29	33	29
38.589	Jake Sanderson	OTT	0.677	D	80	30	11	46	57	23
34.540	Luke Hughes	NJD	0.785	D	71	27	7	37	44	28
34.488	Seth Jones	FLA	0.958	D	63	29	9	27	36	17
33.760	Jake Walman	EDM	0.844	D	65	24	7	33	40	31
32.770	Brent Burns	CAR	1.130	D	82	30	6	23	29	26
32.634	Darren Raddysh	TBL	0.882	D	73	31	6	31	37	28
32.520	Rasmus Sandin	WSH	1.084	D	82	31	4	26	30	25
31.614	Aaron Ekblad	FLA	0.958	D	56	12	3	30	33	20
30.510	Jaccob Slavin	CAR	1.130	D	80	28	6	21	27	24
30.465	Thomas Chabot	OTT	0.677	D	80	30	9	36	45	37
30.327	Brandt Clarke	LAK	0.919	D	78	31	5	28	33	24
30.030	Lane Hutson	MTL	0.455	D	82	31	6	60	66	40
29.899	Oliver Ekman-Larsson	TOR	1.031	D	77	27	4	25	29	25
29.698	Gustav Forsling	FLA	0.958	D	80	28	11	20	31	28
27.852	Mattias Ekholm	EDM	0.844	D	65	14	9	24	33	26
27.852	Darnell Nurse	EDM	0.844	D	76	28	5	28	33	30
27.570	Vladislav Gavrikov	LAK	0.919	D	82	33	5	25	30	29
27.342	Ryan McDonagh	TBL	0.882	D	82	32	4	27	31	27
27.100	Martin Fehervary	WSH	1.084	D	81	30	5	20	25	23
26.016	Matt Roy	WSH	1.084	D	69	28	3	21	24	24
25.732	Jordan Spence	LAK	0.919	D	79	31	4	24	28	23
23.713	Jake McCabe	TOR	1.031	D	66	24	2	21	23	22
23.600	Dylan Samberg	WPG	1.180	D	60	28	6	14	20	19
23.426	Esa Lindell	DAL	0.901	D	80	29	5	21	26	25
22.056	Michael Anderson	LAK	0.919	D	77	28	6	18	24	24
21.624	Cody Ceci	DAL	0.901	D	85	31	4	20	24	23
21.100	Brett Kulak	EDM	0.844	D	82	31	7	18	25	25
20.724	Ryan Lindgren	COL	0.942	D	72	27	4	18	22	20
20.240	Cam Fowler	STL	0.506	D	68	29	9	31	40	32
18.522	Erik Cernak	TBL	0.882	D	76	32	3	18	21	19
18.216	Colton Parayko	STL	0.506	D	64	13	16	20	36	33
17.270	Brian Dumoulin	NJD	0.785	D	80	29	3	19	22	22
16.192	Justin Faulk	STL	0.506	D	78	30	4	28	32	20
14.688	Jared Spurgeon	MIN	0.459	D	66	29	7	25	32	23
14.674	Philip Broberg	STL	0.506	D	68	29	8	21	29	27
14.105	Mike Matheson	MTL	0.455	D	80	31	6	25	31	20
13.311	Brock Faber	MIN	0.459	D	78	30	10	19	29	18
