EV	Name	Team	TEV	Pos	GP	SGP	G	A	P	ESP
117.500	Jack Eichel	VGK	1.250	F	77	26	28	66	94	58
114.460	Kyle Connor	WPG	1.180	F	82	29	41	56	97	67
109.272	Nathan MacKinnon	COL	0.942	F	79	26	32	84	116	78
106.722	Nikita Kucherov	TBL	0.882	F	78	30	37	84	121	75
105.162	Mitch Marner	TOR	1.031	F	81	30	27	75	102	67
102.660	Mark Scheifele	WPG	1.180	F	82	29	39	48	87	62
89.464	Leon Draisaitl	EDM	0.844	F	71	20	52	54	106	73
88.888	Dylan Strome	WSH	1.084	F	82	31	29	53	82	48
86.604	William Nylander	TOR	1.031	F	82	31	45	39	84	54
84.400	Connor McDavid	EDM	0.844	F	67	22	26	74	100	69
83.750	Mark Stone	VGK	1.250	F	66	28	19	48	67	41
83.620	Sebastian Aho	CAR	1.130	F	79	28	29	45	74	44
80.418	Auston Matthews	TOR	1.031	F	67	31	33	45	78	51
79.380	Brandon Hagel	TBL	0.882	F	82	32	35	55	90	72
79.288	Mikko Rantanen	DAL	0.901	F	82	30	32	56	88	62
79.132	Alexander Ovechkin	WSH	1.084	F	65	30	44	29	73	51
78.186	Martin Necas	COL	0.942	F	79	26	27	56	83	46
77.598	Sam Reinhart	FLA	0.958	F	79	27	39	42	81	45
76.294	John Tavares	TOR	1.031	F	75	31	38	36	74	54
76.250	Tomas Hertl	VGK	1.250	F	73	21	32	29	61	38
75.710	Seth Jarvis	CAR	1.130	F	73	28	32	35	67	41
74.340	Nikolaj Ehlers	WPG	1.180	F	69	25	24	39	63	41
73.882	Matt Duchene	DAL	0.901	F	82	31	30	52	82	55
72.324	Brayden Point	TBL	0.882	F	77	32	42	40	82	51
72.080	Jason Robertson	DAL	0.901	F	82	31	35	45	80	61
71.980	Gabriel Vilardi	WPG	1.180	F	71	18	27	34	61	36
71.544	Alexei Protas	WSH	1.084	F	76	25	30	36	66	60
71.544	Pierre-Luc Dubois	WSH	1.084	F	82	31	20	46	66	52
70.560	Jake Guentzel	TBL	0.882	F	80	31	41	39	80	51
70.460	Tom Wilson	WSH	1.084	F	81	30	33	32	65	43
69.080	Jesper Bratt	NJD	0.785	F	81	28	21	67	88	50
68.018	Aleksander Barkov	FLA	0.958	F	67	25	20	51	71	39
